sl.no,label,msisdn,aon,daily_decr30,daily_decr90,rental30,rental90,last_rech_date_ma,last_rech_date_da,last_rech_amt_ma,cnt_ma_rech30,fr_ma_rech30,sumamnt_ma_rech30,medianamnt_ma_rech30,medianmarechprebal30,cnt_ma_rech90,fr_ma_rech90,sumamnt_ma_rech90,medianamnt_ma_rech90,medianmarechprebal90,cnt_da_rech30,fr_da_rech30,cnt_da_rech90,fr_da_rech90,cnt_loans30,amnt_loans30,maxamnt_loans30,medianamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,medianamnt_loans90,payback30,payback90,pcircle,pdate
940,1,39554I84452,244,8086.154667,8145.66,17850.24,21106.74,6,0,3178,14,1,13215,773,282.5,24,0,20936,773,335.5,0,0,0,0,2,24,12,0,2,24,12,0,0,0,UPW,26-07-2016
941,1,82591I90848,510,12.34166667,12.34166667,3834.5,3834.5,2,0,770,1,0,770,770,28,1,0,770,770,28,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,25-06-2016
942,1,05103I88659,1582,4776.08,4795.7,442.92,1107.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,18-07-2016
943,1,51967I82738,758,37390.48167,38117.89,22411.84,28407.34,1,0,2309,9,2,66309,8000,360,19,2,145709,8000,345,0,0,0,0,3,30,12,0,8,60,12,0,1.5,1.285714286,UPW,25-07-2016
944,0,38175I82734,466,5.6,5.6,24,24,2,0,770,1,0,770,770,1,1,0,770,770,1,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,24-06-2016
945,1,26552I88689,928,17060,19953.37,0,-887.1,65,0,16000,0,0,0,0,0,1,0,16000,16000,12130.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPW,07-08-2016
946,1,71629I82731,416,409.528,409.528,-2415.84,-2415.84,2,0,1539,6,6,10024,1547,7.6,7,36,10971,1547,13.1,0,0,0,0,5,30,6,0,5,30,6,0,6.4,6.4,UPW,28-06-2016
947,1,62161I89231,642969.1133,12415,12431,13012.15,18070.11,1,0,5787,5,0,14553,3178,45,6,0,16100,2362.5,71.5,0,0,0,0,3,18,6,1,3,18,6,1,6.333333333,20.5,UPW,16-08-2016
948,1,01906I82734,360,382.632,384.24,273.56,279.56,1,0,770,4,4,3849,770,248.5,6,30,6343,858.5,163.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,01-07-2016
949,1,85936I84453,1055,5550.595,5633.57,358.11,147.36,14,0,1539,2,5,3078,1539,92.37,4,4,12617,1539,196.87,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,25-07-2016
950,1,03520I84454,1876,3580,4048,200.13,290.13,15,0,1539,1,0,1539,1539,23.8,2,38,5587,2793.5,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPW,05-08-2016
951,0,99103I85348,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,27-06-2016
952,1,32360I88648,764,25.2,25.2,409.2,409.2,3,0,1539,2,17,3078,1539,79.6,2,17,3078,1539,79.6,0,0,0,0,2,12,6,0,2,12,6,0,7,7,UPW,24-06-2016
953,1,48533I70377,115,2.066666667,2.066666667,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,04-06-2016
954,1,23370I70786,544,7625.503,7682.375667,6321.82,8176.26,2,43,770,7,6,6931,770,26.67,10,2,10779,771.5,21.17,0,0,1,0,8,48,6,0,10,60,6,0,3,3.222222222,UPW,23-07-2016
955,1,32952I70783,611,12894.98333,12950.75,2345.99,3230.23,22,0,5787,2,3,8965,4482.5,174.2,6,15,20046,3178,135.2,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,28-07-2016
956,1,41513I90587,993,98.315,98.315,1235.25,1235.25,4,0,3178,1,0,3178,3178,5.5,1,0,3178,3178,5.5,0,0,0,0,2,12,6,0,2,12,6,0,11,11,UPW,15-06-2016
957,1,74038I85349,1079,5109.406,5185.09,11537.02,11816.18,1,0,770,2,19,2309,1154.5,311.04,5,1,9438,1539,509.54,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,28-07-2016
958,1,21473I85330,1664,3840,4540,1068.68,5603.27,2,0,770,2,24,1540,770,49.37,3,8,2310,770,14.37,0,0,0,0,2,18,12,0,4,30,12,0,11.5,21.33333333,UPW,13-08-2016
959,1,28150I82738,697,330.8153333,330.8153333,380.38,380.38,1,0,4048,7,3,41061,4917,0,7,3,41061,4917,0,0,0,0,0,2,12,6,0,2,12,6,0,8.666666667,8.666666667,UPW,26-06-2016
960,1,05403I85349,294,4816,5633.8,10970.79,18054.89,1,0,770,3,11,3464,770,85.6,5,11,5010,773,19.6,0,0,0,0,2,12,6,0,5,30,6,0,9.666666667,10.8,UPW,05-08-2016
961,1,08642I85348,1353,68.859,68.859,2149.74,2149.74,3,0,770,6,4,5392,770,54.3,8,30,6938,771.5,46.8,0,0,0,0,3,18,6,0,3,18,6,0,2,2,UPW,27-06-2016
962,1,95753I95203,132,52.2,52.2,372.72,372.72,1,0,1539,3,8,2485,773,75,4,32,3432,860,60.5,0,0,0,0,3,18,6,0,3,18,6,0,3.75,3.75,UPW,06-06-2016
963,1,85022I85320,406,1894.693333,1901.54,1396.78,1416.78,1,0,1539,3,19,4617,1539,76,4,18,6164,1539,52.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-07-2016
964,1,57154I84457,222,9012.1,9034.2,2923.58,3303.68,15,0,8000,2,9,8770,4385,22,2,9,8770,4385,22,0,0,0,0,3,18,6,0,3,18,6,0,7,7,UPW,15-07-2016
965,1,51889I85338,164,5359,6989,3026.14,4590.62,1,0,770,6,3,4626,770,68.5,9,5,7705,770,65,0,0,0,0,2,12,6,0,2,12,6,0,2,2,UPW,08-08-2016
966,1,31327I70371,188,7508.425,7547.85,663.92,828.02,2,0,1539,7,7,7700,773,17,11,3,12498,947,22,0,0,0,0,7,42,6,0,11,66,6,0,3.857142857,3.9,UPW,15-07-2016
967,1,33752I70374,686,95.42666667,95.42666667,489.09,489.09,52,0,947,0,0,0,0,0,1,0,947,947,23.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,17-06-2016
968,1,36679I70377,705,47400,59615,4043.22,5318.46,1,0,1539,13,1,39983,3178,40.8,31,1,95588,1547,50.8,0,0,0,0,3,36,12,0,4,42,12,0,2,1.666666667,UPW,10-08-2016
969,0,47694I84456,1185,1.673,1.673,0,0,4,0,2320,1,0,2320,2320,870333.4411,1,0,2320,2320,0.2,0,0,0,0,1,6,6,1,1,6,6,1,0,0,UPW,03-06-2016
970,1,06402I88659,830,12.59333333,12.59333333,248.82,248.82,5,0,1547,1,0,1547,1547,238.14,1,0,1547,1547,238.14,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-06-2016
971,1,08133I70780,631,9223.318667,9255.68,123.08,-12.51,10,0,4917,1,0,4917,4917,1271.02,3,21,17834,4917,1271.02,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,13-07-2016
972,1,39076I90847,748,91.19466667,91.19466667,1516.64,1516.64,1,0,8000,3,13,13771,3178,20.33,3,13,13771,3178,20.33,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,16-06-2016
973,1,65287I89231,148,7061.456,7111.82,1830.08,1986.92,1,0,773,20,1,15442,773,13,26,1,19654,773,13,0,0,0,0,18,108,6,0,20,120,6,0,2.611111111,4.35,UPW,06-07-2016
974,1,74335I70370,295,1851.265,1875.85,905.78,995.36,1,0,770,6,0,18135,771.5,345.5,8,8,24896,860,345.5,0,0,0,0,5,30,6,0,5,30,6,0,2.5,2.5,UPW,03-07-2016
975,1,22969I90847,864,3378.499,3411.497,348.7,446.7,17,0,2309,2,13,3848,1924,13,3,6,5387,1539,26,0,0,0,0,2,12,6,0,3,18,6,0,4.5,4.5,UPW,23-07-2016
976,1,32474I85330,1137,41.055,41.055,144.69,144.69,4,0,1539,5,15,4805,773,182,5,15,4805,773,182,0,0,0,0,3,18,6,0,3,18,6,0,4.5,4.5,UPW,21-06-2016
977,1,06739I93680,643,1139,1139,99.56,99.56,1,0,770,1,0,770,770,60,1,0,770,770,60,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,17-08-2016
978,1,93794I90841,911,19107.28333,19173.5,3573.14,4056.28,2,0,1539,14,0,15400,773,29.3,21,0,20973,773,79.8,0,0,0,0,10,60,6,0,15,90,6,0,3.111111111,4.071428571,UPW,29-07-2016
979,1,26741I88658,1607,13.11,13.11,271.92,271.92,3,0,4048,3,2,5768,947,148.33,3,2,5768,947,148.33,0,0,0,0,2,12,6,0.5,2,12,6,0.5,0,0,UPW,06-06-2016
980,1,05072I89234,1599,7177,10722.97,699.96,2183.19,11,0,1539,3,15,5387,1539,40.87,8,3,17537,1539,80.87,0,0,0,0,1,6,6,0,5,30,6,0,0,4,UPW,07-08-2016
981,1,70738I90580,2268,5102.757333,5169.64,-959.56,-1251.6,11,0,8000,3,8,24000,8000,-120.72,4,45,27467,8000,-54.72,0,0,0,0,4,24,6,0,5,30,6,0,2.333333333,2.25,UPW,07-07-2016
982,1,59841I82736,910,10638,13525.66,3595.91,4086.17,15,0,10000,2,8,13178,6589,118.61,5,17,17795,1539,22.61,0,0,0,0,2,18,12,0,4,30,12,0,0,6.666666667,UPW,11-08-2016
983,1,81278I89239,1300,10395,11554.66,3301.18,4619.64,2,0,770,5,5,6264,773,0.7,14,4,12618,773,44.2,0,0,0,0,4,24,6,0,12,72,6,0,7,4.636363636,UPW,04-08-2016
984,1,80504I90848,627,29276,31589.83,6563.82,7190.06,1,0,8000,3,2,20048,8000,11,3,2,20048,8000,11,0,0,0,0,1,12,12,0,2,18,12,0,29,29,UPW,11-08-2016
985,1,78080I95204,143,28.696,28.696,311.1,311.1,5,0,2309,2,16,3642,1821,37,2,16,3642,1821,37,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,17-06-2016
986,1,51815I88698,154,5250,5377,299.83,299.83,21,0,4048,1,761778.5307,4048,4048,113.2,1,0,4048,4048,113.2,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,11-08-2016
987,1,14819I82731,380,3326.594667,3332.78,628.32,673.2,1,0,2309,7,3,11543,1539,21.8,7,3,11543,1539,21.8,0,0,0,0,3,18,6,0,4,24,6,0,2.5,2.5,UPW,02-07-2016
988,1,95006I88698,840,5.646666667,5.646666667,79.42,79.42,1,0,1539,1,0,1539,1539,310,1,0,1539,1539,310,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,11-06-2016
989,1,44443I70373,614,9.086666667,9.086666667,307.6,307.6,7,0,1547,1,0,1547,1547,14,1,0,1547,1547,14,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,05-06-2016
990,1,30523I95201,346,40.294,40.294,-229.26,-229.26,6,0,173,1,0,173,173,351.8,1,0,173,173,351.8,0,0,0,0,3,18,6,0,3,18,6,0,1.5,1.5,UPW,03-06-2016
991,1,93599I90585,1018,37.62666667,37.62666667,139.7,139.7,3,0,1539,5,1,5571,1539,13.8,6,33,5744,1156,17.8,0,0,0,0,3,18,6,0,3,18,6,0,2,2,UPW,10-06-2016
992,1,19860I89232,559,12.97666667,12.97666667,1041.42,1041.42,5,0,770,1,0,770,770,80.4,1,0,770,770,80.4,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,17-06-2016
993,1,19868I84458,107,77.03366667,77.03366667,799.37,799.37,6,0,1539,6,1,7718,1539,56.5,6,1,7718,1539,56.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,13-06-2016
994,1,12175I89230,1258,546,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,17-08-2016
995,1,38685I84454,872,2347.533333,2362,481.07,536.58,1,0,770,11,3,8476,770,56.8,12,3,9249,770,53.3,0,0,0,0,2,12,6,0,2,12,6,0,15,15,UPW,07-07-2016
996,1,03590I85338,221,5130,10336,18239.77,29166.72,1,0,1539,4,2,3849,770,16,6,2,8082,1154.5,19,0,0,0,0,2,12,6,0,2,12,6,0,10.33333333,26.25,UPW,07-08-2016
997,1,96363I90841,368,1503.52,1520.65,144,180,18,0,4048,2,12,8096,4048,380,4,32,16230,4057.5,75,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,06-07-2016
998,1,24782I82733,976,28937.13333,29000.25,3783.64,3912.58,3,0,1539,14,1,16946,1539,29.2,19,2,22679,1539,26.2,0,0,0,0,11,66,6,0,13,78,6,0,2.727272727,5.461538462,UPW,14-07-2016
999,0,57275I95204,211,7251.533333,7254.6,25660.34,30216.74,5,0,2309,2,2,6357,3178.5,68,3,44,7904,2309,32,0,0,0,0,2,18,12,0.5,3,24,12,0,22,25,UPW,20-07-2016
1000,1,09526I85350,104,7595,8494.84,7042.66,10343.52,1,0,770,5,1,8666,770,6,13,1,24368,1539,6,0,0,0,0,3,18,6,0,3,18,6,0,4,4,UPW,01-08-2016
1001,1,28642I82736,1625,43.218,43.218,1271.48,1271.48,2,0,2309,6,4,9253,1539,27.97,6,4,9253,1539,27.97,0,0,0,0,3,18,6,0,3,18,6,0,1.5,1.5,UPW,14-06-2016
1002,1,85351I88659,697,21791,21791.45,9774.91,18341.83,1,0,1539,5,3,15221,3178,66,5,3,15221,3178,66,0,0,0,0,2,12,6,0,2,12,6,0,20.66666667,20.66666667,UPW,12-08-2016
1003,0,21924I85348,1190,3278.952667,3284.39,678.04,924.6,10,0,3178,1,0,3178,3178,7.13,2,30,5498,2749,9.13,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,08-07-2016
1004,1,31429I84451,1332,139.13,139.13,270,270,1,0,2309,5,10,16477,2309,15.31,6,33,17424,2309,7.81,0,0,0,0,2,12,6,0,2,12,6,0,1.5,1.5,UPW,15-06-2016
1005,1,01915I70379,186,13187.206,13224.03,20745.4,23528.68,5,0,770,8,2,13485,770,108,13,2,23925,770,27,0,0,0,0,2,12,6,0,3,18,6,0,0,3,UPW,24-07-2016
1006,1,62947I95201,430,21604.54667,21775.64,5240.11,5938.51,6,0,770,9,1,16361,1539,21.7,18,2,39960,1539,24.7,0,0,0,0,6,66,12,0,8,78,12,0,2.4,2,UPW,20-07-2016
1007,1,91390I88680,325,15.498,15.498,115.08,115.08,2,0,1539,1,0,1539,1539,67.5,1,0,1539,1539,67.5,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,14-06-2016
1008,1,24186I70370,797,5441.718,5487.11,919.13,1397.69,5,20,1539,2,10,4717,2358.5,9.9,6,33,13179,2358.5,10.9,1,0,1,0,3,18,6,0,3,18,6,0,3,3,UPW,16-07-2016
1009,1,46953I84456,1191,24.34,24.34,160.2,160.2,9,0,947,1,0,947,947,0.97,1,0,947,947,0.97,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,05-06-2016
1010,1,24107I70379,104,61.32533333,61.32533333,1458.08,1458.08,1,0,5787,2,5,7326,3663,72.5,2,5,7326,3663,72.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,26-06-2016
1011,1,02156I90840,202,29834.80767,30024.69,2490.49,2070.98,3,0,4048,16,0,26567,1539,17,21,0,34481,1539,27,0,0,0,0,4,48,12,0,4,48,12,0,1.666666667,1.666666667,UPW,13-07-2016
1012,1,81920I70378,115,25387.96667,25401,6479.58,6581.58,2,0,770,9,1,13092,773,36,10,1,13865,773,40.5,0,0,0,0,4,42,12,0,4,42,12,0,2.666666667,2.666666667,UPW,17-07-2016
1013,1,34768I84453,1162,134.5493333,134.5493333,1679.2,1679.2,1,0,4048,2,8,8096,4048,403.53,2,8,8096,4048,403.53,0,0,0,0,2,12,6,0,2,12,6,0,4,4,UPW,16-06-2016
1014,1,27708I88659,850,6830,6830,1959.86,1959.86,1,0,773,4,0,6301,1176.5,16.8,4,0,6301,1176.5,16.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,19-07-2016
1015,1,11666I70379,260,31.564,31.564,452.66,452.66,1,14,1924,2,3,2694,1347,175.1,2,3,2694,1347,175.1,1,0,1,0,1,6,6,0,1,6,6,0,0,0,UPW,26-06-2016
1016,1,79205I90583,319,20160,22471.72,1582,2642.5,3,0,770,12,1,12331,773,40,24,1,27778,773,30.5,0,0,0,0,6,66,12,0,17,138,12,0,5.333333333,3.588235294,UPW,04-08-2016
1017,1,28934I95201,424,11500,11500,5178.74,9561.62,1,0,773,9,0,9256,773,262.6,9,0,9256,773,262.6,0,0,0,0,2,12,6,0,2,12,6,0,53,53,UPW,10-08-2016
1018,1,76680I90581,880,4.805333333,4.805333333,394.4,394.4,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,6,0,1,6,6,0,0,0,UPW,16-06-2016
1019,1,47488I89238,195,24305.362,24553.94,2992.21,3332.77,1,0,4048,18,1,72059,4048,25,21,2,88446,4048,28,0,0,0,0,4,30,12,0,4,30,12,0,1.25,1.25,UPW,11-07-2016
1020,1,02444I97604,128,7185,10597.84,698.94,2256.12,4,0,770,5,4,5388,770,42,15,2,15411,770,38,0,0,0,0,1,6,6,0,2,12,6,0,4.5,4.5,UPW,05-08-2016
1021,1,21592I89232,-35,34.67333333,34.67333333,218.82,218.82,1,0,773,3,3,1719,773,-157.2,3,3,1719,773,-157.2,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,14-06-2016
1022,1,36850I90846,103,17.313,17.313,203.85,203.85,4,0,1539,3,3,4033,1539,105,3,3,4033,1539,105,0,0,0,0,2,12,6,0,2,12,6,0,4,4,UPW,09-06-2016
1023,1,49594I70788,478,10810.2,10811,3844,3844,4,0,1539,4,2,6156,1539,147.11,5,0,7695,1539,77.61,0,0,0,0,2,12,6,0,3,18,6,0,17,17,UPW,12-07-2016
1024,1,62218I70374,679,863.3573333,867.72,421.72,486.6,18,0,1924,1,0,1924,1924,341.2,2,13,3848,1924,211.7,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,04-07-2016
1025,1,91768I90587,554,7524,8569.48,2865.18,3904.68,4,0,1539,3,13,5387,1539,27,6,6,10774,1539,26.5,0,0,0,0,2,12,6,0,4,24,6,0,7,9,UPW,09-08-2016
1026,1,74011I82730,819,8805,8805.59,8899.61,8899.61,1,0,2309,2,25,14183,7091.5,172.5,2,25,14183,7091.5,172.5,0,0,0,0,0,0,0,0,1,6,6,0,21,21,UPW,06-08-2016
1027,1,04772I84457,467,65.73333333,65.73333333,171.1,171.1,9,0,4048,4,0,6367,773,213.5,6,2,8687,773,84.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,29-06-2016
1028,1,08052I88649,1024,957.0416667,966.25,566.25,679.5,12,0,1539,4,5,5387,1539,242.4,6,30,6933,1156,187.9,0,0,0,0,4,24,6,0,4,24,6,0,2.666666667,2.666666667,UPW,05-07-2016
1029,1,89729I85340,1657,2892,2892,200.13,200.13,1,0,1539,1,0,1539,1539,0.43,1,0,1539,1539,0.43,0,0,0,0,2,18,12,0,2,18,12,0,0,0,UPW,19-08-2016
1030,1,50143I96394,1040,44.72533333,44.72533333,600.96,600.96,5,0,1539,1,0,1539,1539,15.82,2,47,3086,1543,18.82,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,16-06-2016
1031,0,21559I90846,183,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,04-07-2016
1032,1,32720I82734,1267,26.222,26.222,57.89,57.89,9,0,1547,1,0,1547,1547,22.8,2,35,8507,4253.5,24.8,0,0,0,0,2,12,6,0,2,12,6,0,4,4,UPW,07-06-2016
1033,1,93527I82732,855,26.826,26.826,663.68,663.68,6,0,1539,2,22,2309,1154.5,13,3,48,3082,773,20,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,17-06-2016
1034,1,29285I90841,935,8899,12123.27,4889.8,5590.06,1,0,2309,5,9,11545,2309,82.3,13,9,26189,2309,62.3,0,0,0,0,2,12,6,0,2,12,6,0,2,2,UPW,16-08-2016
1035,1,22639I90586,278,3544.873333,3563.4,3447.8,4247.13,1,0,770,7,0,7706,773,43.17,13,0,11744,773,43.17,0,0,0,0,5,30,6,0,8,48,6,0,3.4,3.111111111,UPW,07-07-2016
1036,0,36015I89237,731,2191.362,2194.54,299.7,299.7,16,0,2309,1,0,2309,2309,25.2,1,0,2309,2309,25.2,0,0,0,0,1,6,6,0,2,12,6,0,0,0,UPW,21-07-2016
1037,0,12955I89236,82,10.78,10.78,42,42,3,0,2309,1,0,2309,2309,18.8,1,0,2309,2309,18.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,14-06-2016
1038,1,65841I89236,861260.6365,2294,2294,3081.29,3081.29,2,0,770,3,7,2310,770,0,3,7,2310,770,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,04-08-2016
1039,1,87955I90845,826,17326,25043.58,1243.61,2431.78,13,0,8000,3,13,17539,8000,27,7,5,38652,7526,27,0,0,0,0,1,6,6,0,2,12,6,0,0,0,UPW,15-08-2016
1040,1,98728I88698,185,1456.612,1543.12,3509.28,5117.67,12,0,1539,1,0,1539,1539,0,6,18,12694,1629.5,112,0,0,0,0,1,6,6,0,4,24,6,0,0,11,UPW,27-07-2016
1041,0,50371I90848,282,8775.554667,8778.24,12166.76,15174.46,5,0,1924,2,15,3848,1924,65,3,21,4618,1924,40,0,0,0,0,3,18,6,0,3,18,6,0,38.66666667,38.66666667,UPW,19-07-2016
1042,1,88476I82731,346,24.872,24.872,-15.98,-15.98,39,0,8000,0,0,0,0,0,1,0,8000,8000,0,0,0,0,0,2,12,6,0,2,12,6,0,1.5,1.5,UPW,02-06-2016
1043,1,89184I70787,183,14302.713,14348.71,4018.8,5411.52,1,0,5787,4,8,16291,4482.5,13.5,8,4,22455,1543,1.5,0,0,0,0,2,12,6,0,3,18,6,0,2,2.666666667,UPW,21-07-2016
1044,1,84638I84450,314,14.29266667,14.29266667,242.33,242.33,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12,6,0,2,12,6,0,0,0,UPW,11-06-2016
1045,1,40372I90843,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,03-07-2016
1046,1,32256I70789,408,3850,3889.59,833.02,978.52,1,0,770,4,11,3080,770,28.5,6,19,5397,770,23.5,0,0,0,0,2,12,6,0,4,24,6,0,24.5,18.5,UPW,11-08-2016
1047,1,48962I70788,306,1989.173333,2021.6,4152.06,5661.9,16,0,1539,5,3,7703,1539,28.5,8,3,12328,1539,94,0,0,0,0,2,18,12,0,2,18,12,0,0,0,UPW,08-07-2016
1048,1,29248I70789,211,2129,3966.33,199.12,755.84,2,0,770,1,0,770,770,10.5,9,4,7722,773,8.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,11-08-2016
1049,1,88268I90581,467,22688.192,22716.32,2990.07,4116.87,2,0,1539,7,2,21009,1539,20,8,2,22548,1539,19.5,0,0,0,0,6,36,6,0,7,42,6,0,3.4,3.166666667,UPW,12-07-2016
1050,1,87386I82737,740,3715.114,3785.19,1215.38,1959.26,2,0,770,6,3,8467,1154.5,85.5,10,3,16178,1924,136.5,0,0,0,0,5,30,6,0,7,42,6,0,2.75,2.571428571,UPW,12-07-2016
1051,1,59139I90847,105,46517.586,46686.31,4232.43,4946.79,1,0,8000,12,2,74818,5787,56.5,16,2,88512,5787,26.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,12-07-2016
1052,1,71781I88659,975,5437.47,5471.1,624.75,806.73,3,0,1539,7,4,10004,1539,-177.3,11,4,14810,1539,11.7,0,0,0,0,2,18,12,0,2,18,12,0,0,0,UPW,09-07-2016
1053,1,07389I85338,934,2986,3057.99,196.12,225.22,9,0,770,2,14,1543,771.5,58.4,4,19,3863,773,16.4,0,0,0,0,2,12,6,0,4,24,6,0,13,13.25,UPW,04-08-2016
1054,1,44253I95202,358,194.5186667,194.5186667,1041.44,1041.44,1,0,2309,15,0,21793,773,420,16,0,25860,773,413.5,0,0,0,0,4,24,6,0,4,24,6,0,1.25,1.25,UPW,23-06-2016
1055,1,38352I88698,114,15.4,15.4,60,60,11,0,1547,1,0,1547,1547,49,1,0,1547,1547,49,0,0,0,0,1,6,6,1,1,6,6,1,0,0,UPW,06-06-2016
1056,0,48668I70373,76,16.13333333,16.13333333,66,66,11,0,2309,2,16,4629,2314.5,504,2,16,4629,2314.5,504,0,0,0,0,2,12,43221.38923,0,2,12,6,0,0,0,UPW,22-06-2016
1057,1,79091I90586,846,4.68,4.68,17.46,17.46,1,0,773,1,0,773,773,14.17,1,0,773,773,14.17,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,18-06-2016
1058,1,36674I85348,118,15.37333333,15.37333333,1255.2,1255.2,4,0,1539,1,0,1539,1539,1,1,0,1539,1539,1,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-2016
1059,1,14201I89238,295,45.857,45.857,1902.6,1902.6,3,0,1539,4,16,5568,1243,27.57,4,16,5568,1243,27.57,0,0,0,0,4,24,6,0,4,24,6,0,4.666666667,4.666666667,UPW,21-06-2016
1060,1,04621I89235,1134,4500.466667,4501,2613.68,3768.72,2,0,770,3,7,2310,770,51.1,5,38,3853,770,51.1,0,0,0,0,3,18,6,0,3,18,6,0,10.5,10.5,UPW,16-07-2016
1061,1,41346I85320,1516,16401.864,16591.24,4602.58,2911.88,1,0,10000,3,18,20773,10000,28.94,4,60,25987,7607,129.94,0,0,0,0,2,12,6,0,2,12,6,0,23,23,UPW,22-07-2016
1062,1,44357I90586,1427,11457.92,11523.88,3050.91,3576.91,1,0,1539,14,1,23874,1543,47.52,20,1,33483,1543,47.52,0,0,0,0,11,66,6,0,13,78,6,0,1.727272727,1.615384615,UPW,10-07-2016
1063,1,42591I89239,1843,89.8,89.8,2082.3,2082.3,6,0,1539,5,3,7695,1539,28.15,6,10,9242,1539,27.15,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,30-06-2016
1064,1,65870I84452,99,34.25333333,34.25333333,228.55,228.55,2,0,1539,3,6,4625,1539,7,3,6,4625,1539,7,0,0,0,0,3,18,6,0,3,18,6,0,3.333333333,3.333333333,UPW,07-06-2016
1065,1,28160I88698,1267,819.3333333,829,80,120,12,0,770,4,4,3080,770,24.5,5,52,3853,770,34.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-07-2016
1066,1,75532I95203,248,6686,6750.03,2258.96,2464.16,3,0,773,5,8,5397,773,126,12,5,10802,773,225.5,0,0,0,0,3,18,6,0,4,24,6,0,3.5,3.333333333,UPW,01-08-2016
1067,1,58681I70375,735,1647.903333,1658.1,2413.3,2451.3,26,3,1539,1,0,1539,1539,29.34,2,26,2486,1243,14.84,1,0,1,0,2,12,6,0,3,18,6,0,21.5,21.5,UPW,19-07-2016
1068,1,34698I89239,59,18.6,18.6,117.54,117.54,1,0,773,3,2,2319,773,53,3,2,2319,773,53,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,09-06-2016
1069,1,64278I90840,305,40.16666667,40.16666667,505.3,505.3,5,995848.9997,1539,2,1,4717,2358.5,504,4,1,6437,1543,374.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-2016
1070,1,34298I90581,589634.0734,52417,64533.95,18144.13,22253.36,1,0,8000,14,1,42865,3178,31.4,29,1,72834,2309,39.9,0,0,0,0,9,60,12,0,14,90,12,0,2,2.428571429,UPW,03-08-2016
